item,empid,dateyr,datewk,quantity
PROD_001,EMP244,2020,0,42
PROD_001,EMP244,2020,1,48
PROD_001,EMP244,2020,2,38
PROD_001,EMP244,2020,3,43
PROD_001,EMP244,2020,4,35
PROD_001,EMP244,2020,5,39
PROD_001,EMP244,2020,6,36
PROD_001,EMP244,2020,7,38
PROD_001,EMP244,2020,8,49
PROD_001,EMP244,2020,9,46
PROD_001,EMP244,2020,10,44
PROD_001,EMP244,2020,11,25
PROD_001,EMP244,2020,12,43
PROD_001,EMP244,2020,13,38
PROD_001,EMP244,2020,14,34
PROD_001,EMP244,2020,15,48
PROD_001,EMP244,2020,16,52
PROD_001,EMP244,2020,17,67
PROD_001,EMP244,2020,18,52
PROD_001,EMP244,2020,19,45
PROD_001,EMP244,2020,20,64
PROD_001,EMP244,2020,21,49
PROD_001,EMP244,2020,22,48
PROD_001,EMP244,2020,23,72
PROD_001,EMP244,2020,24,64
PROD_001,EMP244,2020,25,64
PROD_001,EMP244,2020,26,30
PROD_001,EMP244,2020,27,25
PROD_001,EMP244,2020,28,43
PROD_001,EMP244,2020,29,23
PROD_001,EMP244,2020,30,29
PROD_001,EMP244,2020,31,30
PROD_001,EMP244,2020,32,31
PROD_001,EMP244,2020,33,28
PROD_001,EMP244,2020,34,34
PROD_001,EMP244,2020,35,34
PROD_001,EMP244,2020,36,36
PROD_001,EMP244,2020,37,47
PROD_001,EMP244,2020,38,24
PROD_001,EMP244,2020,39,35
PROD_001,EMP244,2020,40,47
PROD_001,EMP244,2020,41,34
PROD_001,EMP244,2020,42,46
PROD_001,EMP244,2020,43,41
PROD_001,EMP244,2020,44,34
PROD_001,EMP244,2020,45,39
PROD_001,EMP244,2020,46,44
PROD_001,EMP244,2020,47,46
PROD_001,EMP244,2020,48,46
PROD_001,EMP244,2020,49,41
PROD_001,EMP244,2020,50,57
PROD_001,EMP244,2020,51,73
PROD_001,EMP244,2019,0,35
PROD_001,EMP244,2019,1,34
PROD_001,EMP244,2019,2,40
PROD_001,EMP244,2019,3,36
PROD_001,EMP244,2019,4,45
PROD_001,EMP244,2019,5,37
PROD_001,EMP244,2019,6,43
PROD_001,EMP244,2019,7,47
